@(1, 0x10000000, 0x01000000, -0.25, 0.0)
@(1, 0x00001000, 0x00000100, -0.25, 0.0)
@(5, 0x01000000, 0x10000000, -2.06493e-05, 0.0)
@(5, 0x02000000, 0x20000000, -7.2122e-06, 0.0)
@(5, 0x04000000, 0x40000000, 5.0068e-06, 0.0)
@(5, 0x08000000, 0x80000000, -6.0201e-06, 0.0)
@(5, 0x00000100, 0x00001000, -2.06493e-05, 0.0)
@(5, 0x00000200, 0x00002000, -7.2122e-06, 0.0)
@(5, 0x00000400, 0x00004000, 5.0068e-06, 0.0)
@(5, 0x00000800, 0x00008000, -6.0201e-06, 0.0)
@(6, 0x01000000, 0x10000000, 1.43573e-05, 0.0)
@(6, 0x02000000, 0x20000000, 1.69892e-05, 0.0)
@(6, 0x04000000, 0x40000000, 6.2771e-06, 0.0)
@(6, 0x08000000, 0x80000000, 1.21109e-05, 0.0)
@(6, 0x00000100, 0x00001000, 1.43573e-05, 0.0)
@(6, 0x00000200, 0x00002000, 1.69892e-05, 0.0)
@(6, 0x00000400, 0x00004000, 6.2771e-06, 0.0)
@(6, 0x00000800, 0x00008000, 1.21109e-05, 0.0)
@(7, 0x10000000, 0x01000000, -6.0946e-06, 0.0)
@(7, 0x20000000, 0x02000000, 4.2245e-06, 0.0)
@(7, 0x40000000, 0x04000000, 2.40766e-05, 0.0)
@(7, 0x80000000, 0x08000000, 2.18302e-05, 0.0)
@(7, 0x01000000, 0x10000000, 1.23382e-05, 0.0)
@(7, 0x02000000, 0x20000000, -2.01631e-05, 0.0)
@(7, 0x04000000, 0x40000000, 7.8259e-06, 0.0)
@(7, 0x08000000, 0x80000000, -1.05072e-05, 0.0)
@(7, 0x00001000, 0x00000100, -6.0946e-06, 0.0)
@(7, 0x00002000, 0x00000200, 4.2245e-06, 0.0)
@(7, 0x00004000, 0x00000400, 2.40766e-05, 0.0)
@(7, 0x00008000, 0x00000800, 2.18302e-05, 0.0)
@(7, 0x00000100, 0x00001000, 1.23382e-05, 0.0)
@(7, 0x00000200, 0x00002000, -2.01631e-05, 0.0)
@(7, 0x00000400, 0x00004000, 7.8259e-06, 0.0)
@(7, 0x00000800, 0x00008000, -1.05072e-05, 0.0)
@(8, 0x10000000, 0x01000000, 3.8892e-06, 0.0)
@(8, 0x20000000, 0x02000000, -1.01868e-05, 0.0)
